"oid","aid","head","cont"
"311","0001129604","두산 개막 엔트리 신입은? ""야수 중에서""","   [엑스포츠뉴스 잠실, 김현세 기자] &quot;1명 들어가고, 1명 나오는 식이지 않습니까.&quot;흔히 &quot;2군에서 1명만 (1군에) 올라가도 성공&quot;이라 말한다. KBO 리그 10개 구단 모두에게 해당한다. 더구나 1군 진입 후 주전까지 꿰차는 데 있어 단순 자리만 아니라 복합적 요인이 작용한다. 그만큼 쉽지 않다.두산 베어스 김태형 감독에게 올 청백전에서 그럴 만한 선수가 여럿 보인다. 일단 수비에서 2020년 신인 박지훈이 내야수로서 감각적 수비를 보이고 있고, 내야 핵심 인물로 꼽히는 이유찬도 그중 하나다.앞서 조성환 수비코치는 &quot;스프링캠프에서 유찬이가 타격만 아니라 수비도 많이 좋아졌다&quot;며 &quot;오재원, 김재호 뒤를 잇는 선수가 나오게 해야 하는데, 일단 유찬이만 아니라 여러 가능성을 확인하고 왔다&quot;고 했다.타격 컨디션도 좋다. 이유찬은 올 스프링캠프 연습경기에서 국내 청백전까지 14경기 타율 0.324(37타수 12안타), 박지훈은 7경기 타율 0.333(6타수 2안타)를 쳤다. 또, 포수 최용제도 6경기에서 3타수 3안타를 기록했다.어린 선수 외 신인 중 안권수에게 쏠리는 기대도 크다. 안권수는 개막 엔트리 진입이 유력한 후보다. 김 감독도 &quot;쓰임새가 있다&quot;고 봤다. 현재 14경기 타율 0.269(26타수 7안타)를 쳤고, 도루는 팀 내 가장 많은 6개다.31일 서울 잠실야구장에서 김 감독은 기존 전력을 두고 &quot;투수는 선발진 페이스가 좋고, 타자 컨디션도 나쁘지 않다&quot;며 &quot;기존 주전 외 몇 야수 중에서 살펴 보고 있는데, 개막 엔트리는 1명 들어가고 1명 빠지는 느낌&quot;이라 봤다.kkachi@xportsnews.com / 사진=잠실, 윤다희 기자▶ 요즘 핫한 아이돌 공항 직캠 보러가기 ▶ 고화질 영상으로 만나는 나의 스타 - ⓒ엑스포츠뉴스, 무단 전재 및 재배포 금지     기사제공 엑스포츠뉴스      현장에서 작성된 기사입니다.   "
"421","0004555486","'143㎞ 2이닝 무실점' 정인욱 ""꾸준하지 못해 호투라 할 수 없어""","   삼성 라이온즈 정인욱이 31일 대구 삼성라이온즈파크에서 열린 자체 평가전에 선발 등판해 역투하고 있다. (삼성 라이온즈 제공) &#169; 뉴스1(서울=뉴스1) 정명의 기자 = 삼성 라이온즈의 우완 투수 정인욱이 청백전 호투를 펼쳤다. 그러나 ""꾸준하지 못해 잘 던졌다고 할 수 없다""고 스스로를 돌아봤다.정인욱은 31일 대구 삼성라이온즈파크에서 열린 자체 청백전에 청팀의 선발투수로 등판해 2이닝 2피안타 1사구 무실점을 기록했다. 직구 최고 구속은 143㎞까지 나왔다.1회말 선두타자 박찬도에게 중전안타를 맞은 뒤 2루 도루까지 허용했으나 실점을 막았다. 이성규를 3루수 파울플라이로 잡아낸 뒤 최영진을 몸에 맞는 공으로 출루시켜 1사 1,2루. 여기서 정인욱은 김동엽을 3루수 병살타로 요리하며 이닝을 끝냈다.2회말에도 안타를 내준 정인욱. 선두타자 김상수를 좌익수 뜬공으로 요리한 뒤 김응민에게 내야안타를 내줬다. 그러나 2루 도루를 저지한 뒤 백승민을 2루수 땅볼로 솎아내며 공수교대를 이끌어냈다.3회말이 되자 정인욱은 김윤수와 교체돼 마운드를 내려갔다.경기는 7회까지 진행된 가운데 백팀의 2-1 승리로 마무리됐다. 6회말 0-1로 끌려가던 백팀이 맹성주를 상대로 연속 4안타(김동엽-김상수-김응민 이상 2루타, 백승민 단타)를 몰아치며 2점을 뽑아 역전했다.경기 후 정인욱은 ""무실점으로 막았지만 짧은 이닝이었고 꾸준히 좋은 모습을 보여주지 못했기 때문에 잘 던졌다고 할 수 없다""며 ""앞으로 꾸준히 잘 던질 수 있도록 준비하겠다""고 말했다.정인욱은 2009년 삼성에 입단, 2010년 1군에 데뷔해 그해 4승을 수확한 뒤 2011년에는 6승2패 평균자책점 2.25를 기록하며 기대를 모았다. 그러나 이후 별다른 성적을 내지 못한 채 '미완의 대기'에 머물러 있다.doctorj@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  4.15총선 관련뉴스 ▶ 해피펫 &#169; 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지     기사제공 뉴스1       "
"410","0000680940","‘3·4선발 점검’ 최원태 3이닝 무실점 호투…이승호 3이닝 5K 1실점","   매경닷컴 MK스포츠(서울 고척) 김성범 기자키움 히어로즈 3·4선발 최원태(23) 이승호(21)가 나란히 쾌투를 펼쳤다.최원태 이승호는 31일 서울 고척스카이돔에서 열린 자체 청백전에서 선발 맞대결을 펼쳤다. 최원태는 버건디팀 선발로 나와 3이닝 3탈삼진 2피안타 무실점을 기록했다. 이승호는 화이트팀 선발로 등판해 3이닝 5탈삼진 3피안타 1실점로 등판을 마쳤다.최원태는 최고구속 147km/h에 달하는 공을 뿌리며 타선을 압도했다. 1회를 삼자범퇴로 끝낸 최원태는 2회 1사 후 박주홍에게 우전안타로 첫 출루를 허용했다. 이어 폭투가 나오며 박주홍을 2루까지 내보냈지만, 박준태를 삼진으로 처리했다. 이어 박주홍을 견제사 처리하며 위기를 벗어났다. 키움 최원태(사진) 이승호가 청백전에 선발등판해 호투를 펼쳤다. 사진(고척)=김재현 기자 3회에는 선두타자 이지영에게 중전 안타를 맞았지만, 김은성에게 땅볼을 유도해 4-6-3 병살타를 만들었다. 주성원은 1루수 파울플라이로 처리하며 등판을 마쳤다.이승호는 1회 아웃카운트를 모두 삼진으로 솎아냈다. 김혜성과 임병욱을 연속 삼진 처리한 이승호는 이정후에게 중전 안타를 허용했다. 그러나 박병호를 헛스윙 삼진으로 돌려세우며 1회를 종료했다.2회는 삼자범퇴였다. 선두타자 박동원을 유격수 땅볼로 잡았고, 김규민을 좌익수 플라이, 주효상을 2루 땅볼로 잡으며 이닝을 마쳤다.3회에는 흔들리며 실점을 내줬다. 선두타자 김주형을 삼진 처리한 이승호는 서건창과 김병휘에게 연속 안타를 얻어맞으며 1사 1, 3루 위기를 맞았다. 김혜성에게 중견수 희생플라이를 허용했지만, 임병욱을 삼진으로 솎아내며 등판을 마쳤다. 최고구속은 143km/h가 나왔다. mungbean@maekyung.com▶ 아이돌 B컷 사진 모음전▶ 클릭 핫! 뉴스[ⓒ MK스포츠, 무단전재 및 재배포 금지]     기사제공 MK스포츠       현장에서 작성된 기사입니다.   "
"477","0000238278","[SPO 인터뷰] '청백전 4안타' 오선진, ""어렵지만 최대한 타석에 집중""","   ▲ 한화 내야수 오선진. ⓒ한화 이글스[스포티비뉴스=고유라 기자] 한화 이글스 내야수 오선진이 청백전에서 날카로운 타격감을 보여주고 있다.오선진은 31일 대전한화생명이글스파크에서 열린 청백전에서 백팀 2번타자 유격수로 선발출장해 적시 3루타를 포함해 4타수 4안타 2득점 1타점으로 활약했다. 이날 백팀은 청팀을 5-3으로 꺾었다.오선진은 1회 중전안타, 4회 중전안타, 6회 우중간 안타, 7회 우월 3루타를 때려내며 맹타를 휘둘렀다. 스프링캠프 귀국 후 열린 청백전 6경기에서 오선진은 20타수 9안타 5득점 2타점 타율 0.450을 기록 중이다.경기 후 '스포티비뉴스'와 전화 인터뷰에 응한 오선진은 ""캠프 때 무릎이 좋지 않아 타격에 많은 시간을 할애하지 못했다. 그래서 그동안 생각한 것을 캠프 막판에 조금 해봤고 지금 실전에서 내 것을 찾아가고 있다""고 말했다.지금도 무릎 부상은 조금 남아 있는 상태지만 경기를 뛰는데 큰 무리는 없다고. 오선진은 ""100%는 아니지만 통증은 크게 없어서 계속 관리 받으면서 경기에 나서고 있다. 뛰고 그런 건 괜찮아졌는데 무릎을 굽혀서 앉거나 급하게 움직일 때 통증이 조금 남아 있다""고 현재 상황을 밝혔다.오선진은 이어 ""반복적으로 청백전, 팀 훈련만 하니까 집중하기 어려운 것은 맞다. 하지만 선수들 모두 스스로 집중해서 훈련에 임하고 있다. 경기 때는 생각대로 안 됐던 면에 변화를 주면서 내것을 찾기 위해 노력한다. 경기를 재미있고 편하게 하면서도 타석에서는 집중하려고 하고 있다""고 말했다.그는 마지막으로 ""선수들과 이야기를 많이 나누고 있다. 서로 야구 이야기를 많이 하면서 폼도 서로 봐주고 타석에서 어떤지에 대해서도 서로 의견을 주고 받고 있다""며 하나로 똘똘 뭉쳐 시즌을 기다리고 있는 팀 분위기를 전했다.스포티비뉴스=고유라 기자스포티비뉴스가 여러분의 스포츠 현장 제보(jebo@spotvnews.co.kr)를 기다립니다.메시, 호날두도 피할 수 없는 연봉삭감..[스포츠타임] 내년 개최인데&hellip;왜 &lsquo;2021 도쿄올림픽&rsquo; 아닐까?저작권자 ⓒ SPOTV NEWS 무단전재 및 재배포 금지     기사제공 스포티비뉴스       "
"421","0004555478","오재일 ""청백전, 감잡기 어렵지만 색달라…이영하 공 좋더라""","   두산 베어스 오재일. /뉴스1 &#169; News1 박세연 기자(서울=뉴스1) 정명의 기자 = 두산 베어스 오재일이 청백전을 통한 색다른 경험을 소개했다.오재일은 31일 서울 잠실구장에서 열린 자체 청백전에 백팀의 4번타자 1루수로 선발 출전해 3타수 1안타(2루타)를 기록했다. 4회말 함덕주를 상대로 좌익선상에 타구를 떨어뜨린 뒤 2루까지 내달리는 적극적인 주루도 펼쳤다.이로써 오재일의 연습경기+청백전 타격 성적은 타율 0.293(41타수 12안타) 2홈런 2루타 4개, 5타점이 됐다.신종 코로나바이러스 감염증(코로나19) 확산으로 시범경기가 취소되고 시즌 개막도 미뤄지고 있는 가운데 선수들은 청백전으로 컨디션을 유지할 수밖에 없다. 그러나 동료들을 상대하는 청백전으로는 한계가 있다.오재일도 ""청백전도 경기지만 연습이기 때문에 감 잡기가 어렵다. 빨리 시즌을 시작했으면 하는 마음""이라며 ""몸 컨디션은 좋은데 경기를 안해봐서 실전 감각은 잘 모르겠다""고 고충을 토로했다.청백전으로 평소 몰랐던 동료 투수의 구위를 실감하기도 한다. 이날 오재일은 이영하의 실전 투구를 처음 타석에서 경험했다. 결과는 삼진.오재일은 ""예전에도 청백전을 했지만 요즘처럼 많이 하지는 않았다. 우리 팀 투수들 공을 치는 것이 새롭기는 하다""며 ""(이)영하 공을 처음 쳐봤는데 공이 좋더라. 왜 좋은 성적을 내는지 알았다. 나를 삼진으로 잡아내려고 더 열심히 던지는 것 같기도 했다""고 웃으며 말했다.이영하는 지난해 17승을 따내며 두산의 토종 에이스로 자리잡은 선수. 이날도 3이닝 동안 동료 타자들을 상대해 자책점 없이 호투를 펼쳤다.doctorj@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  4.15총선 관련뉴스 ▶ 크립토허브 &#169; 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지     기사제공 뉴스1      현장에서 작성된 기사입니다.   "
"448","0000294803","개막 연기된 프로야구…선수와 팬 달래는 반가운 연습경기","         [앵커]프로야구 개막이 코로나 사태로  늦춰지면서, 팬도, 구단도  속이 탑니다. 구단들은 연습경기를 자체 생중계 하며 팬심을 달래고 있습니다. 장동욱 기자입니다.[리포트]관중 없는 잠실야구장에 경쾌한 타구음이 울려퍼집니다. 선수들이 박수를 치며 분위기를 돋굽니다전지 훈련도 다녀왔고 이제는 개막만 남았지만, 코로나19로 그야말로 '올스톱'인 상황. 프로야구 구단들은 요즘 자체 청백전 중계로 아쉬움을 달래고 있습니다. 해설위원으로도 명성이 높았던 LG 차명석 단장이 직접 중계 마이크를 잡고 솔직한 입담을 선보입니다. 차명석""지금 이성우 선수가 너무 잘 쳐요. 걱정이 돼서... 안타 총량의 법칙이라고, 1년 간 칠 수 있는 안타가 정해져 있는데..."" 공식 경기가 아닌 자체 청백전 특유의 장면도 묘미입니다. 차명석""청백전을 하다 보니까 류중일 감독이 뒤에서 투수들의 구위를 보고 있죠."" 프로 스포츠가 온통 중단된 만큼 인터넷 하이라이트 영상은 조회수 4만을 넘길 정도로 인기입니다. 이상규""관중 없이 야구하는 것보다는 팬들과 소통하면서 야구를 너무 하고 싶습니다."" LG 차명석 단장을 비롯해 한화 정민철 단장, 롯데 성민규 단장 등 해설위원 출신 단장들이 팬서비스를 하는 요즘 프로야구 연습경기 중계가 가뭄에 단비같지만, 프로야구 개막은 아직 기약이 없는 상황입니다. 동병상련 중인 프로야구 팬들과 구단들은 개막만을 애타게 기다리고 있습니다. TV조선 장동욱입니다. 장동욱 기자(eastwook@chosun.com)☞ 네이버 메인에서 TV조선 구독하기☞ 더 많은 TV조선 뉴스 보기* 뉴스제보 : 이메일(tvchosun@chosun.com), 카카오톡(tv조선제보), 전화(1661-0190)- Copyrights ⓒ TV조선. 무단전재 및 재배포 금지 -    기사제공 TV조선       "
"055","0000804458","[이승기 특별출연] 롯데 김상호, 병마 딛고 부활포 '꽝'","        if (deployPhase === ""local"" || deployPhase === ""dev"") { nhn.rmcnmv.BUILD_PHASE = 'dev'; } var videoId = 'FFD37A46784DD92E8C43A1F9C4B3F1CB3996'; var rmcPlayer_FFD37A46784DD92E8C43A1F9C4B3F1CB3996 = new nhn.rmcnmv.RMCVideoPlayer('FFD37A46784DD92E8C43A1F9C4B3F1CB3996','V12162207c74cc208670d64baedd96bed6a22681a54222eee309c245c5c2ea743270464baedd96bed6a22','0', '0', '2006', nhn.rmcnmv.RMCVideoPlayer.type.AUTO); rmcPlayer_FFD37A46784DD92E8C43A1F9C4B3F1CB3996.properties.autoPlay=""true""; rmcPlayer_FFD37A46784DD92E8C43A1F9C4B3F1CB3996.properties.coverImageURL=""http://imgnews.naver.net/image/055/2020/03/30/cover_0000804458_001_20200330214108067.jpg""; rmcPlayer_FFD37A46784DD92E8C43A1F9C4B3F1CB3996.properties.skinName=""tvcast_white""; rmcPlayer_FFD37A46784DD92E8C43A1F9C4B3F1CB3996.properties.hasRelativeMovie=""true""; rmcPlayer_FFD37A46784DD92E8C43A1F9C4B3F1CB3996.properties.controlBarMovable = ""true""; rmcPlayer_FFD37A46784DD92E8C43A1F9C4B3F1CB3996.properties.wmode = ""transparent""; rmcPlayer_FFD37A46784DD92E8C43A1F9C4B3F1CB3996.displayRMCPlayer();        오늘&#40;30일&#41; 끝 영상은 특별히 '1일 아나운서' 로 나선 이승기 씨가 소개해 드리겠습니다.이승기네, 2년 전 뇌종양 수술을 받고 잠시 야구장을 떠났던 프로야구 롯데의 김상호 선수 영상입니다.오늘 팀 연습경기에서 시원한 두 점 홈런으로 부활의 신호탄을 쏘아 올렸습니다.김상호 선수 파이팅! 지금까지 '1일 아나운서' 이승기였습니다.&nbsp;&nbsp;&nbsp;▶ 'n번방 · 박사방' 성착취 사건 파문▶ 코로나19 속보 한눈에 보기▶ VOTE KOREA 2020 온라인 갤러리※ ⓒ SBS & SBS Digital News Lab. : 무단복제 및 재배포 금지     기사제공 SBS       "
"023","0003519313","내년에 숨 쉴틈 없는 한국야구...3월엔 WBC, 7월엔 올림픽","   &quot;올림픽 개막 내년 7월 23일로 확정&quot;야구는 한 해 두 개의 빅이벤트축구는 연령 제한 어떻게 될까도쿄올림픽이 내년 7월23일 개최되기로 합의됨에 따라 양대 인기 종목인 야구와 축구도 구체적인 계획 수립에 들어갈 수 있을 것이라 보인다.내년은 야구 대표팀엔 숨 가쁜 일정이 될 전망이다. 우선 4년마다 열리는 WBC(월드 베이스볼 클래식) 5번째 대회가 대만과 일본, 미국에서 열린다. 20개 팀이 참가하는 이 대회는 내년 3월 9일 막을 올려 23일까지 펼쳐진다. 보통 각 팀의 스프링캠프가 막바지에 들어가는 기간이지만 대표팀에 차출된 선수들은 2월부터 소집돼 대회를 준비할 예정이다.딱 1년 뒤로 밀린 내년 7월엔 올림픽 야구가 펼쳐진다. 2008 베이징 대회에 이어 12년 만에 열리는 올림픽 야구다. 2008년 당시 올림픽 금메달로 야구 붐을 일으킨 기억을 떠올리면 결코 소홀히 할 수 없는 대회다. 내년 올림픽 기간엔 대표팀 차출 상황에 따른 팀 간 유·불리가 없게 전체 휴식기를 가질 가능성이 크다. 올해 당초 휴식기로 설정했던 기간(7월 24일 ~ 8월 10일)과 비슷할 전망이다.김경문 야구 대표팀 감독은 내년 WBC와 올림픽을 모두 치러야 할 운명이 됐다. / 연합뉴스2020 올림픽이 끝난 직후인 8월까지 전임 계약이 되어 있던 김경문 야구 대표팀 감독의 계약 기간도 자동적으로 1년 연장되게 됐다. 김경문 감독이 WBC와 올림픽을 모두 치러야 할 상황이 된 것이다.올해는 코로나 바이러스 감염증 여파로 KBO리그를 제대로 소화하기도 버거운 상황이라 대표팀 전력 향상을 꾀할 시간은 가지기 어려울 전망이다. 2021년이 한국 야구에 중요한 해가 된 만큼 전략적인 접근이 중요하다. 선택과 집중이 필요할 수도 있다.올림픽이 1년 밀리며 대회 준비에 다시 들어간 김학범 축구 대표팀 감독. / 연합뉴스축구는 대회 참가 연령에 대한 논의가 필요하다. 올림픽 남자 축구의 경우 23세 이하만 참가할 수 있다. 1년 뒤로 대회가 밀리면서 1998년 1월 1일생이 아닌 1999년 1월 1일생부터 대회에 출전할 수 있게 됐다. 하지만 올림픽 본선행 티켓을 따낸 1998년생들에게 기회를 줘야 한다는 의견도 있어 향후 FIFA(국제축구연맹)와 IOC의 결정에 관심이 쏠리게 됐다.올 7월만 바라보고 대회를 준비한 김학범 대표팀 감독 역시 계약 기간이 1년 뒤로 연장될 전망이다. 2019 자카르타-팔렘방 아시안게임 금메달로 주가를 높인 김 감독은 올림픽 메달에 모든 것을 걸었지만, 1년을 더 기다리게 됐다.[장민석 기자 jordantic@chosun.com] [네이버 메인에서 조선일보 받아보기][조선닷컴 바로가기][조선일보 구독신청하기] - Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -     기사제공 조선일보       "
"032","0003000854","늦었다면, 더 특별한 ‘야구’를 하자 [이용균의 베이스볼 라운지]","   원래는, 이미 야구가 시작됐어야 했다. 지난 28일, 잠실에서는 두산-롯데전이 열렸어야 했다. 봄이 왔는데, 야구는 오지 않았다.코로나19 때문에 개막이 미뤄졌다. 여전히 정부의 위기 대응 단계는 ‘심각’이다. 언제 다시 야구를 할 수 있을지 길이 보이지 않는다. 일본 프로야구는 후지나미 신타로라는 스타의 확진으로 비상이 걸렸다. 4월24일 개막이 불투명하다. 메이저리그는 6월 중순 개막이 목표지만 이 역시 ‘낙관적’이라는 평가를 받는다.확진 선수도 없고, 확진자 수도 감소 중인 KBO리그가 상황이 제일 낫지만, 그렇다고 개막일을 못 박을 수 있는 것도 아니다. 이대로 잘 굴러가면 5월 초 개막이 가능할 수 있지만, 초유의 사태, 모든 예상은 덧없다. 실내 스포츠, 농구 배구 등은 시즌이 중간에 끝났다.야구는 기록의 종목이다. 이전 시즌과의 연속성이 중요하다. 안타, 홈런, 삼진, 다승 등 누적 기록은 이전 시즌들과의 균형을 중요하게 만든다. 144경기가 갑자기 100경기로 줄면, 누적 기록의 의미가 희미해진다. 각종 비율 기록 역시 가치를 다시 따져야 하는 복잡한 일이 벌어진다. 개막 시점에 대한 고민은 기록의 고민과 맞물린다. 초유의 사태, 초유의 고민들이 이어진다.세상의 많은 고민은, 거꾸로 생각하는 데서 풀린다. 예상이 어려운 2020시즌의 방식을 아예 바꾸면 된다. 앞선 기록과의 관계를 애써 이으려 하지 말고, 한 시즌을 새롭게 구성하면 된다. 2020시즌을 ‘아주 특별한 시즌’으로 만들 수 있다. 상상 속 모든 경기 방식을 두고 실험이 가능하다.류현진이 뛰는 토론토 로스 앳킨스 단장은 ‘7이닝 더블헤더’를 제안했다. 엉뚱하다는 평가를 받지만 ‘스페셜 2020시즌’에서 불가능은 없다. 정규시즌 144경기가 줄어들면 아예 다른 방식의 시즌을 치를 수 있다. 이를테면 과거 존재한 전·후기 리그 대신 4라운드 방식이다. 팀당 3연전을 한 바퀴 도는 것이 한 라운드. 라운드별 순위에 따라 ‘포인트’를 매기고, 4라운드 합산으로 순위를 가린다. 짧아진 시즌, 순위의 관심도를 높인다.양대리그 실험도 가능하다. 퓨처스의 남북리그를 그대로 도입할 수도 있고, 동서리그로 나눌 수도 있다. 아예 하루 날 잡아서 리그 구분 추첨 행사를 열 수도 있다. “스페셜 2020시즌, 두산의 추첨결과는!”메이저리그가 도입하기로 한 포스트시즌 상대팀 선택 행사를 KBO가 먼저 할 수도 있다. 축소된 시즌, 가을야구 참가 팀을 늘려 토너먼트를 벌인다. 1위와 2위 팀은 상위 라운드에 직행한다. 그에 앞서 5위 vs 8위, 6위 vs 7위의 단판 와일드카드를 펼쳐 승자를 결정하면 3위와 4위가 이 두 팀 중 준플레이오프 상대를 고르는 방식이다. 이 역시 TV 중계가 가능하다. 3위팀 단장, 이를테면 백승수 단장이 나와 발표를 한다. “드림즈는 준플레이오프 상대로 바이킹스를 선택합니다.” 선택의 유불리를 두고 야구 이야기가 뜨거워질 수 있다.야구가 아니라고? 전례가 없다고? 우리는 지금 모두 전례가 무의미한 세상을 살아내고 있는 중이다. 처음 맞는 지금의 위기는 과거 일상이었던, 그래서 익숙했던 모든 것들을 다시 생각해 보는 기회를 만들고 있다. 코로나19에 대한 한국의 대처가 전 세계의 모범과 전례가 되고 있는 지금, 한국 야구가 전 세계 스포츠의 모범과 전례가 될 수도 있다.이용균 기자 noda@kyunghyang.com▶ 장도리 | 그림마당 보기▶ 경향신문 바로가기▶ 경향신문 구독신청하기&#169;경향신문(www.khan.co.kr), 무단전재 및 재배포 금지     기사제공 경향신문            베이스볼 라운지 기사 목록             "
"057","0001438189","프로야구 개막 연기가 아쉬운 선수 고마운 선수","        if (deployPhase === ""local"" || deployPhase === ""dev"") { nhn.rmcnmv.BUILD_PHASE = 'dev'; } var videoId = '0BA56922E562C7EAACE6BD6DF558881E6BA4'; var rmcPlayer_0BA56922E562C7EAACE6BD6DF558881E6BA4 = new nhn.rmcnmv.RMCVideoPlayer('0BA56922E562C7EAACE6BD6DF558881E6BA4','V1263d5a832b6acfa300cfc00f15df45674a3e1015640fbced4f74577b0bb01f174b8fc00f15df45674a3','0', '0', '2006', nhn.rmcnmv.RMCVideoPlayer.type.AUTO); rmcPlayer_0BA56922E562C7EAACE6BD6DF558881E6BA4.properties.autoPlay=""true""; rmcPlayer_0BA56922E562C7EAACE6BD6DF558881E6BA4.properties.coverImageURL=""http://imgnews.naver.net/image/057/2020/03/30/cover_cover_20200330211255_20_552_1239224_360_7_0_20200330211608435.jpg""; rmcPlayer_0BA56922E562C7EAACE6BD6DF558881E6BA4.properties.skinName=""tvcast_white""; rmcPlayer_0BA56922E562C7EAACE6BD6DF558881E6BA4.properties.hasRelativeMovie=""true""; rmcPlayer_0BA56922E562C7EAACE6BD6DF558881E6BA4.properties.controlBarMovable = ""true""; rmcPlayer_0BA56922E562C7EAACE6BD6DF558881E6BA4.properties.wmode = ""transparent""; rmcPlayer_0BA56922E562C7EAACE6BD6DF558881E6BA4.displayRMCPlayer();        【 앵커멘트 】  이처럼 기약 없이 미뤄지는 프로스포츠 개막에 누구보다 애타는 선수들이 있는데, 바로 올해가 마지막이거나 처음인 선수들입니다.  반대로 몸이 안 좋던 선수들은 시간을 좀 번 셈이겠죠. 희비가 교차한 선수들의 얘기 김동환 기자가 전합니다.【 기자 】  프로야구 최고령 선수 박용택은 속절없이 흐르는 시간이 아쉽기만 합니다.  올해를 끝으로 은퇴하기로 했는데, 팬들과 만날 시간이 계속 미뤄지는 겁니다.  레전드 스타 최고의 예우인 은퇴 투어 같은 이벤트는 기대할 수 없게 됐지만, 무관중 개막은 생각하기도 싫습니다.▶ 인터뷰 : 박용택 / LG 외야수- ""마지막 시즌 빨리 시작해서 즐겁게 한 게임 한 게임 좋은 추억 남기고 싶지만 제 야구인생 마지막이 중요한 게 아니니까 요즘 전 세계적으로 힘든 시기고. 팬이 없이 야구를 한다는 게 상상이 안 돼요.""  FA로 11년 만에 KIA를 떠나 롯데 유니폼을 입은 안치홍과 2차 드래프트로 LG로 간 정근우는 미뤄지는 새 출발에 애가 탑니다.  반면, 아킬레스건 부상에서 2년 만에 돌아오는 두산 김강률은 개막 연기로 회복할 시간을 벌었습니다.▶ 인터뷰 : 김강률 / 두산 투수- ""저에게는 시간이 좀 더 생겼다는 의미로 받아들이고 남은 기간 빨리 준비 잘해서 개막전부터 잘 던질 수 있도록….""  빨리 뛰고 싶은 선수들의 몸부림과 복귀 예정 선수들의 실전 준비로 청백전만 나날이 열기를 더하고 있습니다.  MBN뉴스 김동환입니다.▶네이버 메인에서 MBN뉴스를 만나보세요!▶MBN 무료 고화질 온에어 서비스 GO! Copyright ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지      기사제공 MBN       "
"214","0001027004","[스포츠 영상] 뇌종양 김상호 복귀후 첫 홈런","        if (deployPhase === ""local"" || deployPhase === ""dev"") { nhn.rmcnmv.BUILD_PHASE = 'dev'; } var videoId = '0E2BCB2D265D2AE8BDC82DCD337F4ADD7218'; var rmcPlayer_0E2BCB2D265D2AE8BDC82DCD337F4ADD7218 = new nhn.rmcnmv.RMCVideoPlayer('0E2BCB2D265D2AE8BDC82DCD337F4ADD7218','V125cd7f2289e38d59b96d7ed693f9906285c282750023037ab0b1b5130638045c17fd7ed693f9906285c','0', '0', '2006', nhn.rmcnmv.RMCVideoPlayer.type.AUTO); rmcPlayer_0E2BCB2D265D2AE8BDC82DCD337F4ADD7218.properties.autoPlay=""true""; rmcPlayer_0E2BCB2D265D2AE8BDC82DCD337F4ADD7218.properties.coverImageURL=""http://imgnews.naver.net/image/214/2020/03/30/cover_cover_desk_20200330_204829_1_33_Large_20200330205113685.jpg""; rmcPlayer_0E2BCB2D265D2AE8BDC82DCD337F4ADD7218.properties.skinName=""tvcast_white""; rmcPlayer_0E2BCB2D265D2AE8BDC82DCD337F4ADD7218.properties.hasRelativeMovie=""true""; rmcPlayer_0E2BCB2D265D2AE8BDC82DCD337F4ADD7218.properties.controlBarMovable = ""true""; rmcPlayer_0E2BCB2D265D2AE8BDC82DCD337F4ADD7218.properties.wmode = ""transparent""; rmcPlayer_0E2BCB2D265D2AE8BDC82DCD337F4ADD7218.displayRMCPlayer();        [뉴스데스크]2년 전 뇌종양 수술을 받은 프로야구 롯데의 김상호 선수가 복귀 후 첫 홈런을 터뜨렸습니다. 연습경기지만 의미있는 홈런이네요.  월요일 밤 스포츠뉴스였습니다.[저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]▶ 네이버 홈에서 [MBC뉴스] 채널 구독하기▶ 새로움을 탐험하다. ""엠빅뉴스""▶ MBC 14층 사람들이 만든 뉴스 ""14F""Copyright(c) Since 1996, MBC&iMBC All rights reserved.     기사제공 MBC       "
